CD_NOM	PLUS_RECENTE_DIFFUSION	CD_NOM_REMPLACEMENT	CD_RAISON_SUPPRESSION	RAISON_SUPPRESSION
10038	7.0	243537	1	cd_nom de remplacement à utiliser.
10041	7.0	243521	1	cd_nom de remplacement à utiliser.
10052	7.0	244434	1	cd_nom de remplacement à utiliser.
10057	7.0	244443	1	cd_nom de remplacement à utiliser.
10059	7.0	244448	1	cd_nom de remplacement à utiliser.
10066	7.0	244457	1	cd_nom de remplacement à utiliser.
10067	7.0	253206	1	cd_nom de remplacement à utiliser.
10072	7.0	244485	1	cd_nom de remplacement à utiliser.
10204	7.0	243816	1	cd_nom de remplacement à utiliser.
10235	7.0	244277	1	cd_nom de remplacement à utiliser.
10249	7.0	244357	1	cd_nom de remplacement à utiliser.
10255	7.0	244320	1	cd_nom de remplacement à utiliser.
10261	7.0	253181	1	cd_nom de remplacement à utiliser.
10331	7.0	242872	1	cd_nom de remplacement à utiliser.
10347	7.0	251555	1	cd_nom de remplacement à utiliser.
10350	7.0	223841	1	cd_nom de remplacement à utiliser.
10462	7.0	223642	1	cd_nom de remplacement à utiliser.
10464	7.0	223559	1	cd_nom de remplacement à utiliser.
10526	7.0	10782	1	cd_nom de remplacement à utiliser.
10669	9.0	10668	1	cd_nom de remplacement à utiliser.
10674	7.0	10670	1	cd_nom de remplacement à utiliser.
10809	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
11027	7.0	716251	1	cd_nom de remplacement à utiliser.
11094	5.0	11093	1	cd_nom de remplacement à utiliser.
11255	7.0	240524	1	cd_nom de remplacement à utiliser.
11277	7.0	222103	1	cd_nom de remplacement à utiliser.
11279	7.0	222104	1	cd_nom de remplacement à utiliser.
11305	7.0	222097	1	cd_nom de remplacement à utiliser.
11309	7.0	250776	1	cd_nom de remplacement à utiliser.
11325	7.0	222095	1	cd_nom de remplacement à utiliser.
11328	7.0	222083	1	cd_nom de remplacement à utiliser.
11334	7.0	222087	1	cd_nom de remplacement à utiliser.
11335	7.0	222092	1	cd_nom de remplacement à utiliser.
11341	7.0	222186	1	cd_nom de remplacement à utiliser.
11355	7.0	222161	1	cd_nom de remplacement à utiliser.
11386	7.0	222171	1	cd_nom de remplacement à utiliser.
11409	7.0	416846	1	cd_nom de remplacement à utiliser.
11431	7.0	240486	1	cd_nom de remplacement à utiliser.
11463	7.0	240390	1	cd_nom de remplacement à utiliser.
11506	7.0	240347	1	cd_nom de remplacement à utiliser.
11512	7.0	240357	1	cd_nom de remplacement à utiliser.
11518	7.0	240432	1	cd_nom de remplacement à utiliser.
11581	7.0	222290	1	cd_nom de remplacement à utiliser.
11615	7.0	234844	1	cd_nom de remplacement à utiliser.
11627	7.0	224095	1	cd_nom de remplacement à utiliser.
11633	7.0	224082	1	cd_nom de remplacement à utiliser.
11685	7.0	222258	1	cd_nom de remplacement à utiliser.
11702	7.0	222221	1	cd_nom de remplacement à utiliser.
11703	7.0	222211	1	cd_nom de remplacement à utiliser.
11720	7.0	235160	1	cd_nom de remplacement à utiliser.
11721	7.0	235155	1	cd_nom de remplacement à utiliser.
11750	7.0	223094	1	cd_nom de remplacement à utiliser.
11762	7.0	223084	1	cd_nom de remplacement à utiliser.
11784	7.0	223078	1	cd_nom de remplacement à utiliser.
11788	7.0	223080	1	cd_nom de remplacement à utiliser.
11792	7.0	223083	1	cd_nom de remplacement à utiliser.
11794	7.0	223082	1	cd_nom de remplacement à utiliser.
11838	7.0	223246	1	cd_nom de remplacement à utiliser.
11848	8.0	396535	1	cd_nom de remplacement à utiliser.
11908	7.0	221926	1	cd_nom de remplacement à utiliser.
11925	7.0	221890	1	cd_nom de remplacement à utiliser.
11942	7.0	221957	1	cd_nom de remplacement à utiliser.
11945	7.0	221948	1	cd_nom de remplacement à utiliser.
11978	7.0	244609	1	cd_nom de remplacement à utiliser.
12012	7.0	244673	1	cd_nom de remplacement à utiliser.
12026	7.0	244637	1	cd_nom de remplacement à utiliser.
12037	7.0	244633	1	cd_nom de remplacement à utiliser.
12088	7.0	235249	1	cd_nom de remplacement à utiliser.
12090	7.0	235255	1	cd_nom de remplacement à utiliser.
12095	7.0	235389	1	cd_nom de remplacement à utiliser.
12098	7.0	235390	1	cd_nom de remplacement à utiliser.
12186	7.0	340106	1	cd_nom de remplacement à utiliser.
12352	5.0	12351	1	cd_nom de remplacement à utiliser.
12446	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
12488	7.0	223126	1	cd_nom de remplacement à utiliser.
12534	7.0	241871	1	cd_nom de remplacement à utiliser.
12535	7.0	241872	1	cd_nom de remplacement à utiliser.
12569	7.0	241266	1	cd_nom de remplacement à utiliser.
12574	7.0	241352	1	cd_nom de remplacement à utiliser.
12592	7.0	241355	1	cd_nom de remplacement à utiliser.
12602	7.0	241335	1	cd_nom de remplacement à utiliser.
12615	7.0	241311	1	cd_nom de remplacement à utiliser.
12627	7.0	241255	1	cd_nom de remplacement à utiliser.
12639	7.0	241510	1	cd_nom de remplacement à utiliser.
12712	7.0	241533	1	cd_nom de remplacement à utiliser.
12716	7.0	241522	1	cd_nom de remplacement à utiliser.
12740	7.0	241547	1	cd_nom de remplacement à utiliser.
12789	7.0	241600	1	cd_nom de remplacement à utiliser.
12793	7.0	241615	1	cd_nom de remplacement à utiliser.
12798	7.0	241781	1	cd_nom de remplacement à utiliser.
12813	7.0	241673	1	cd_nom de remplacement à utiliser.
12829	7.0	241762	1	cd_nom de remplacement à utiliser.
12835	7.0	241738	1	cd_nom de remplacement à utiliser.
12837	7.0	241742	1	cd_nom de remplacement à utiliser.
12846	7.0	241585	1	cd_nom de remplacement à utiliser.
12862	7.0	241829	1	cd_nom de remplacement à utiliser.
12875	7.0	241901	1	cd_nom de remplacement à utiliser.
12885	7.0	241907	1	cd_nom de remplacement à utiliser.
12892	7.0	241919	1	cd_nom de remplacement à utiliser.
12896	7.0	241913	1	cd_nom de remplacement à utiliser.
12918	7.0	242330	1	cd_nom de remplacement à utiliser.
12920	7.0	242333	1	cd_nom de remplacement à utiliser.
12923	7.0	242339	1	cd_nom de remplacement à utiliser.
12955	7.0	242302	1	cd_nom de remplacement à utiliser.
13010	7.0	409472	1	cd_nom de remplacement à utiliser.
13019	7.0	409482	1	cd_nom de remplacement à utiliser.
13045	7.0	13047	1	cd_nom de remplacement à utiliser.
13070	7.0	409399	1	cd_nom de remplacement à utiliser.
13076	8.0	409550	1	cd_nom de remplacement à utiliser.
13086	7.0	409561	1	cd_nom de remplacement à utiliser.
13109	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
13115	7.0	409576	1	cd_nom de remplacement à utiliser.
13118	7.0	409579	1	cd_nom de remplacement à utiliser.
13119	7.0	409585	1	cd_nom de remplacement à utiliser.
13285	7.0	13280	1	cd_nom de remplacement à utiliser.
13587	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
13603	5.0	13600	1	cd_nom de remplacement à utiliser.
13740	8.0	240302	1	cd_nom de remplacement à utiliser.
13746	8.0		1	cd_nom de remplacement à utiliser.
13935	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
14032	5.0	14034	1	cd_nom de remplacement à utiliser.
14058	5.0	14057	1	cd_nom de remplacement à utiliser.
