id_nomenclature;mnemonique;cd_nomenclature
544;OCC_COMPORTEMENT;1
545;OCC_COMPORTEMENT;2
546;OCC_COMPORTEMENT;3
547;OCC_COMPORTEMENT;4
548;OCC_COMPORTEMENT;5
549;OCC_COMPORTEMENT;6
550;OCC_COMPORTEMENT;7
551;OCC_COMPORTEMENT;8
552;OCC_COMPORTEMENT;9
553;OCC_COMPORTEMENT;10
554;OCC_COMPORTEMENT;11
555;OCC_COMPORTEMENT;12
556;OCC_COMPORTEMENT;13
557;OCC_COMPORTEMENT;14
558;OCC_COMPORTEMENT;15
559;OCC_COMPORTEMENT;16
562;OCC_COMPORTEMENT;19
563;OCC_COMPORTEMENT;20
564;OCC_COMPORTEMENT;21
565;OCC_COMPORTEMENT;22
566;OCC_COMPORTEMENT;23
